"Timestamp","Self-chosen ID (the same as the one used for the first part)","Unique ID from URL:"
"2020/05/07 8:17:53 PM GMT+2","4520","gm0b0k11"
"2020/05/07 8:24:32 PM GMT+2","Christian Jacobsen","9tnr4s3y"
"2020/05/07 8:56:37 PM GMT+2","chjac777","8x9o12cu"
