participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.rating1,player.faceid,player.TPrating,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,22,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,23,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,23,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,24,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,24,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,25,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,25,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,26,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,26,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,27,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,27,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,28,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,28,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,29,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,29,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,30,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,30,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,31,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,31,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,32,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,32,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,33,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,33,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,34,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,34,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,35,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,35,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,36,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,36,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,37,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,37,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,38,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,38,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,39,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,39,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,40,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,40,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,41,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,41,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,42,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,42,zv8vda12,,,,,,1
