"","FaceID","ID","Participant","FirstRating","GroupRating","SecondRating","Feedback","Change","TimeStamp1","TimeStamp2"
"63",11,"Misterperc",96,5,8,4,3,-1,2020-05-12 08:14:46,2020-05-12 13:31:52
"64",11,"Moe",65,5,0,7,NA,2,2020-05-11 10:31:13,2020-05-12 16:28:24
"65",11,"Python",69,7,4,6,-3,-1,2020-05-11 10:37:55,2020-05-11 11:59:16
"66",11,"RBJ",47,2,5,7,3,5,2020-05-08 17:17:19,2020-05-09 12:56:32
"67",11,"Rensdyrlam",72,8,8,4,0,-4,2020-05-11 11:07:17,2020-05-11 13:45:45
"68",11,"rosenmeier",31,6,3,6,-3,0,2020-05-13 17:39:40,2020-05-13 20:02:00
"69",11,"Sarah",54,7,7,6,0,-1,2020-05-10 08:13:59,2020-05-10 10:46:01
"70",11,"SKJ",10,2,5,3,3,1,2020-05-12 15:25:17,2020-05-12 16:45:15
"71",11,"Slowlydying",31,7,0,8,NA,1,2020-05-08 11:11:42,2020-05-09 09:54:54
"72",11,"SOJ",79,2,2,3,0,1,2020-05-11 11:35:22,2020-05-12 20:54:58
"73",11,"The cat",80,8,6,8,-2,0,2020-05-11 12:20:26,2020-05-12 13:08:57
"74",11,"wtf",11,5,8,5,3,0,2020-05-12 15:38:57,2020-05-12 18:48:25
"75",12,"17",86,3,6,3,3,0,2020-05-11 14:33:33,2020-05-12 06:46:41
"76",12,"1879",95,5,0,6,NA,1,2020-05-12 08:11:44,2020-05-12 12:42:31
"77",12,"1918",27,5,3,5,-2,0,2020-05-08 09:59:25,2020-05-09 07:13:50
"78",12,"2205",84,3,3,4,0,1,2020-05-11 13:59:46,2020-05-12 06:45:37
"79",12,"4520",1,2,0,3,NA,1,2020-05-07 13:26:05,2020-05-07 18:11:06
"80",12,"45bites",9,4,1,3,-3,-1,2020-05-12 14:19:49,2020-05-12 17:32:36
"81",12,"6107",12,4,1,3,-3,-1,2020-05-12 16:03:37,2020-05-12 17:33:36
"82",12,"9696",55,4,7,2,3,-2,2020-05-10 12:43:53,2020-05-10 18:25:33
"83",12,"andrea",61,6,8,6,2,0,2020-05-11 10:19:49,2020-05-12 08:34:56
"84",12,"Asad",33,4,0,3,NA,-1,2020-05-13 20:10:11,2020-05-13 21:28:24
"85",12,"ASDF1234",70,5,7,4,2,-1,2020-05-11 10:49:57,2020-05-11 11:54:38
"86",12,"Astrid",38,6,0,5,NA,-1,2020-05-08 12:53:19,2020-05-09 13:27:16
"87",12,"Bøllemis",71,7,5,7,-2,0,2020-05-11 11:03:38,2020-05-11 12:05:46
"88",12,"Carmesin",45,5,2,4,-3,-1,2020-05-08 17:09:27,2020-05-10 01:58:32
"89",12,"Christian Jacobsen",16,6,8,6,2,0,2020-05-07 17:23:10,2020-05-07 18:17:29
"90",12,"GOAT",44,3,3,3,0,0,2020-05-08 16:45:39,2020-05-08 18:12:03
"91",12,"Grandmasterflash",81,4,6,5,2,1,2020-05-11 12:35:37,2020-05-12 22:27:46
"92",12,"havegang7",36,6,8,6,2,0,2020-05-08 12:04:55,2020-05-08 21:07:31
"93",12,"hejhejhund",52,4,6,3,2,-1,2020-05-09 14:09:32,2020-05-10 09:58:15
"94",12,"Jesper",82,2,5,3,3,1,2020-05-11 13:13:10,2020-05-11 15:34:50
"95",12,"Johanne",32,6,8,7,2,1,2020-05-13 19:27:00,2020-05-13 21:01:36
"96",12,"Katrine",76,6,8,6,2,0,2020-05-11 11:26:24,2020-05-11 19:28:47
"97",12,"lilla",73,6,0,5,NA,-1,2020-05-11 11:12:11,2020-05-11 13:02:33
"98",12,"Llamaman",74,5,5,4,0,-1,2020-05-11 11:16:30,2020-05-12 10:18:57
"99",12,"minime",97,3,0,5,NA,2,2020-05-12 08:19:30,2020-05-13 12:38:49
"100",12,"Misterperc",96,2,5,3,3,1,2020-05-12 08:14:46,2020-05-12 13:31:52
"101",12,"Moe",65,3,1,4,-2,1,2020-05-11 10:31:13,2020-05-12 16:28:24
"102",12,"Python",69,3,6,2,3,-1,2020-05-11 10:37:55,2020-05-11 11:59:16
"103",12,"RBJ",47,1,0,6,NA,5,2020-05-08 17:17:19,2020-05-09 12:56:32
"104",12,"Rensdyrlam",72,3,3,3,0,0,2020-05-11 11:07:17,2020-05-11 13:45:45
"105",12,"rosenmeier",31,2,4,4,2,2,2020-05-13 17:39:40,2020-05-13 20:02:00
"106",12,"Sarah",54,4,6,5,2,1,2020-05-10 08:13:59,2020-05-10 10:46:01
"107",12,"SKJ",10,3,3,4,0,1,2020-05-12 15:25:17,2020-05-12 16:45:15
"108",12,"Slowlydying",31,8,5,5,-3,-3,2020-05-08 11:11:42,2020-05-09 09:54:54
"109",12,"SOJ",79,6,4,3,-2,-3,2020-05-11 11:35:22,2020-05-12 20:54:58
"110",12,"The cat",80,8,5,8,-3,0,2020-05-11 12:20:26,2020-05-12 13:08:57
