"","FaceID","ID","FirstRating","GroupRating","SecondRating","Change","Feedback","Condition"
"114",13,"1918",4,6,4,0,2,"Peri"
"115",13,"2205",4,4,4,0,0,"Peri"
"116",13,"4520",3,3,3,0,0,"Peri"
"117",13,"45bites",5,7,4,-1,2,"Peri"
"118",13,"6107",2,2,2,0,0,"Peri"
"119",13,"9696",2,2,2,0,0,"Peri"
"120",13,"andrea",6,4,2,-4,-2,"Peri"
"121",13,"Asad",5,5,3,-2,0,"Peri"
"122",13,"ASDF1234",3,5,3,0,2,"Peri"
"123",13,"Astrid",2,5,4,2,3,"Peri"
"124",13,"Bøllemis",7,5,7,0,-2,"Peri"
"125",13,"Carmesin",4,2,4,0,-2,"Peri"
"126",13,"Christian Jacobsen",3,1,3,0,-2,"Peri"
"127",13,"GOAT",2,5,2,0,3,"Peri"
"128",13,"Grandmasterflash",6,3,4,-2,-3,"Peri"
"129",13,"havegang7",5,3,6,1,-2,"Peri"
"130",13,"hejhejhund",3,1,3,0,-2,"Peri"
"131",13,"JakobBjerreKnudsen",4,0,5,1,NA,"Peri"
"132",13,"Jesper",6,4,1,-5,-2,"Peri"
"133",13,"Johanne",6,3,5,-1,-3,"Peri"
"134",13,"Katrine",5,3,5,0,-2,"Peri"
"135",13,"lilla",5,7,4,-1,2,"Peri"
"136",13,"Llamaman",2,2,2,0,0,"Peri"
"137",13,"minime",1,0,4,3,NA,"Peri"
"138",13,"Misterperc",7,5,6,-1,-2,"Peri"
"139",13,"Moe",3,5,4,1,2,"Peri"
"140",13,"Python",4,7,2,-2,3,"Peri"
"141",13,"RBJ",1,1,5,4,0,"Peri"
"142",13,"Rensdyrlam",2,2,2,0,0,"Peri"
"143",13,"rosenmeier",2,0,3,1,NA,"Peri"
"144",13,"Sarah",3,1,6,3,-2,"Peri"
"145",13,"SKJ",2,5,4,2,3,"Peri"
"146",13,"Slowlydying",3,1,4,1,-2,"Peri"
"147",13,"SOJ",1,4,2,1,3,"Peri"
"148",13,"wtf",2,0,2,0,NA,"Peri"
"149",14,"17",6,4,2,-4,-2,"Peri"
"150",14,"1879",7,0,5,-2,NA,"Peri"
"151",14,"1918",4,0,5,1,NA,"Peri"
"152",14,"2205",1,0,2,1,NA,"Peri"
"153",14,"4520",3,6,2,-1,3,"Peri"
"154",14,"45bites",2,5,4,2,3,"Peri"
"155",14,"6107",5,7,5,0,2,"Peri"
"156",14,"9696",1,4,3,2,3,"Peri"
"157",14,"andrea",5,7,5,0,2,"Peri"
"158",14,"Asad",6,8,2,-4,2,"Peri"
"159",14,"ASDF1234",5,8,5,0,3,"Peri"
"160",14,"Astrid",1,3,2,1,2,"Peri"
"161",14,"Bøllemis",7,5,7,0,-2,"Peri"
"162",14,"Carmesin",3,1,3,0,-2,"Peri"
"163",14,"Christian Jacobsen",2,5,3,1,3,"Peri"
"164",14,"GOAT",6,3,3,-3,-3,"Peri"
"165",14,"Grandmasterflash",6,8,5,-1,2,"Peri"
"166",14,"havegang7",5,7,7,2,2,"Peri"
"167",14,"hejhejhund",5,3,3,-2,-2,"Peri"
"168",14,"Jesper",5,7,4,-1,2,"Peri"
"169",14,"Johanne",5,0,7,2,NA,"Peri"
"170",14,"Katrine",5,7,5,0,2,"Peri"
"171",14,"lilla",3,6,4,1,3,"Peri"
"172",14,"Llamaman",3,0,2,-1,NA,"Peri"
"173",14,"minime",7,7,4,-3,0,"Peri"
"174",14,"Misterperc",5,2,3,-2,-3,"Peri"
"175",14,"Moe",3,1,7,4,-2,"Peri"
"176",14,"Python",3,3,4,1,0,"Peri"
"177",14,"RBJ",2,4,6,4,2,"Peri"
"178",14,"Rensdyrlam",3,3,1,-2,0,"Peri"
"179",14,"rosenmeier",2,5,3,1,3,"Peri"
"180",14,"Sarah",7,4,4,-3,-3,"Peri"
"181",14,"SKJ",5,2,5,0,-3,"Peri"
"182",14,"Slowlydying",7,0,8,1,NA,"Peri"
"183",14,"SOJ",2,2,4,2,0,"Peri"
"184",14,"wtf",3,6,4,1,3,"Peri"
"185",15,"17",6,3,4,-2,-3,"Peri"
"186",15,"1879",4,6,5,1,2,"Peri"
"187",15,"1918",6,3,1,-5,-3,"Peri"
"188",15,"2205",6,0,5,-1,NA,"Peri"
"189",15,"4520",6,6,6,0,0,"Peri"
"190",15,"45bites",3,1,3,0,-2,"Peri"
"191",15,"6107",5,2,5,0,-3,"Peri"
"192",15,"9696",4,6,4,0,2,"Peri"
"193",15,"andrea",6,3,5,-1,-3,"Peri"
"194",15,"Asad",4,7,1,-3,3,"Peri"
"195",15,"ASDF1234",5,8,4,-1,3,"Peri"
"196",15,"Astrid",4,6,2,-2,2,"Peri"
"197",15,"Bøllemis",7,4,7,0,-3,"Peri"
"198",15,"Carmesin",4,4,5,1,0,"Peri"
"199",15,"Christian Jacobsen",5,8,4,-1,3,"Peri"
"200",15,"GOAT",3,6,4,1,3,"Peri"
"201",15,"Grandmasterflash",5,0,4,-1,NA,"Peri"
"202",15,"havegang7",5,0,6,1,NA,"Peri"
"203",15,"hejhejhund",6,6,4,-2,0,"Peri"
"204",15,"JakobBjerreKnudsen",4,0,5,1,NA,"Peri"
"205",15,"Jesper",2,2,2,0,0,"Peri"
"206",15,"Johanne",6,6,5,-1,0,"Peri"
"207",15,"Katrine",5,0,6,1,NA,"Peri"
"208",15,"lilla",5,2,4,-1,-3,"Peri"
"209",15,"Llamaman",4,2,5,1,-2,"Peri"
"210",15,"minime",7,5,5,-2,-2,"Peri"
"211",15,"Misterperc",3,1,3,0,-2,"Peri"
"212",15,"Moe",3,3,7,4,0,"Peri"
"213",15,"Python",6,3,6,0,-3,"Peri"
"214",15,"RBJ",1,3,6,5,2,"Peri"
"215",15,"Rensdyrlam",3,0,2,-1,NA,"Peri"
"216",15,"rosenmeier",4,7,4,0,3,"Peri"
"217",15,"Sarah",7,5,5,-2,-2,"Peri"
"218",15,"SKJ",6,4,6,0,-2,"Peri"
"219",15,"Slowlydying",8,8,8,0,0,"Peri"
"220",15,"SOJ",4,2,2,-2,-2,"Peri"
"221",15,"wtf",3,6,3,0,3,"Peri"
"222",16,"17",5,8,4,-1,3,"Peri"
"223",16,"1879",4,7,5,1,3,"Peri"
"224",16,"1918",3,6,5,2,3,"Peri"
"225",16,"2205",7,4,4,-3,-3,"Peri"
"226",16,"4520",2,4,4,2,2,"Peri"
"227",16,"45bites",5,7,5,0,2,"Peri"
"228",16,"6107",5,2,5,0,-3,"Peri"
"229",16,"9696",3,6,3,0,3,"Peri"
"230",16,"andrea",5,7,7,2,2,"Peri"
"231",16,"Asad",2,5,2,0,3,"Peri"
"232",16,"ASDF1234",4,6,4,0,2,"Peri"
"233",16,"Astrid",3,5,6,3,2,"Peri"
"234",16,"Bøllemis",7,4,7,0,-3,"Peri"
"235",16,"Carmesin",2,4,4,2,2,"Peri"
"236",16,"Christian Jacobsen",5,3,5,0,-2,"Peri"
"237",16,"GOAT",6,6,3,-3,0,"Peri"
"238",16,"Grandmasterflash",4,6,4,0,2,"Peri"
"239",16,"havegang7",6,0,6,0,NA,"Peri"
"240",16,"hejhejhund",3,6,4,1,3,"Peri"
"241",16,"JakobBjerreKnudsen",6,4,5,-1,-2,"Peri"
"242",16,"Jesper",4,4,1,-3,0,"Peri"
"243",16,"Johanne",6,6,6,0,0,"Peri"
"244",16,"Katrine",6,6,6,0,0,"Peri"
"245",16,"lilla",3,1,4,1,-2,"Peri"
"246",16,"Llamaman",3,0,3,0,NA,"Peri"
"247",16,"minime",4,6,5,1,2,"Peri"
"248",16,"Misterperc",4,2,3,-1,-2,"Peri"
"249",16,"Moe",2,2,6,4,0,"Peri"
"250",16,"Python",5,3,4,-1,-2,"Peri"
"251",16,"RBJ",2,2,5,3,0,"Peri"
"252",16,"Rensdyrlam",4,4,4,0,0,"Peri"
"253",16,"rosenmeier",4,1,4,0,-3,"Peri"
"254",16,"Sarah",6,3,6,0,-3,"Peri"
"255",16,"SKJ",4,1,3,-1,-3,"Peri"
"256",16,"Slowlydying",5,7,6,1,2,"Peri"
"257",16,"SOJ",2,0,2,0,NA,"Peri"
"258",16,"The cat",8,8,8,0,0,"Peri"
"259",16,"wtf",1,1,3,2,0,"Peri"
"260",17,"17",6,4,3,-3,-2,"Peri"
"261",17,"1879",3,1,3,0,-2,"Peri"
"262",17,"1918",4,1,6,2,-3,"Peri"
"263",17,"2205",6,6,6,0,0,"Peri"
"264",17,"4520",5,3,6,1,-2,"Peri"
"265",17,"45bites",2,4,2,0,2,"Peri"
"266",17,"6107",4,6,6,2,2,"Peri"
"267",17,"9696",6,3,5,-1,-3,"Peri"
"268",17,"andrea",7,7,3,-4,0,"Peri"
"269",17,"Asad",1,1,1,0,0,"Peri"
"270",17,"ASDF1234",4,4,5,1,0,"Peri"
"271",17,"Astrid",8,5,6,-2,-3,"Peri"
"272",17,"Bøllemis",7,7,7,0,0,"Peri"
"273",17,"Carmesin",4,2,4,0,-2,"Peri"
"274",17,"Christian Jacobsen",7,7,6,-1,0,"Peri"
"275",17,"GOAT",3,0,3,0,NA,"Peri"
"276",17,"Grandmasterflash",6,3,5,-1,-3,"Peri"
"277",17,"havegang7",7,7,8,1,0,"Peri"
"278",17,"hejhejhund",4,2,3,-1,-2,"Peri"
"279",17,"JakobBjerreKnudsen",5,2,5,0,-3,"Peri"
"280",17,"Jesper",2,5,2,0,3,"Peri"
"281",17,"Johanne",8,5,7,-1,-3,"Peri"
"282",17,"Katrine",6,6,6,0,0,"Peri"
"283",17,"lilla",8,5,7,-1,-3,"Peri"
"284",17,"Llamaman",7,4,6,-1,-3,"Peri"
"285",17,"minime",2,2,6,4,0,"Peri"
"286",17,"Misterperc",3,0,3,0,NA,"Peri"
"287",17,"Moe",3,0,6,3,NA,"Peri"
"288",17,"Python",5,0,5,0,NA,"Peri"
"289",17,"RBJ",2,2,6,4,0,"Peri"
"290",17,"Rensdyrlam",7,4,2,-5,-3,"Peri"
"291",17,"rosenmeier",3,1,2,-1,-2,"Peri"
"292",17,"Sarah",7,4,6,-1,-3,"Peri"
"293",17,"SKJ",7,4,6,-1,-3,"Peri"
"294",17,"Slowlydying",8,8,7,-1,0,"Peri"
"295",17,"SOJ",5,0,4,-1,NA,"Peri"
"296",17,"The cat",8,5,8,0,-3,"Peri"
"297",17,"wtf",7,5,7,0,-2,"Peri"
"298",18,"17",5,8,6,1,3,"Peri"
"299",18,"1879",4,4,3,-1,0,"Peri"
"300",18,"1918",5,8,1,-4,3,"Peri"
"301",18,"2205",6,0,5,-1,NA,"Peri"
"302",18,"4520",5,5,5,0,0,"Peri"
"303",18,"45bites",7,5,7,0,-2,"Peri"
"304",18,"6107",6,4,6,0,-2,"Peri"
"305",18,"9696",7,4,6,-1,-3,"Peri"
"306",18,"andrea",7,5,5,-2,-2,"Peri"
"307",18,"Asad",5,7,4,-1,2,"Peri"
"308",18,"ASDF1234",5,2,6,1,-3,"Peri"
"309",18,"Astrid",8,6,3,-5,-2,"Peri"
"310",18,"Bøllemis",7,5,7,0,-2,"Peri"
"311",18,"Carmesin",4,2,6,2,-2,"Peri"
"312",18,"Christian Jacobsen",6,8,6,0,2,"Peri"
"313",18,"GOAT",5,5,4,-1,0,"Peri"
"314",18,"Grandmasterflash",4,2,3,-1,-2,"Peri"
"315",18,"havegang7",8,8,8,0,0,"Peri"
"316",18,"hejhejhund",6,4,6,0,-2,"Peri"
"317",18,"JakobBjerreKnudsen",7,4,6,-1,-3,"Peri"
"318",18,"Jesper",1,1,1,0,0,"Peri"
"319",18,"Johanne",7,4,6,-1,-3,"Peri"
"320",18,"Katrine",5,7,6,1,2,"Peri"
"321",18,"lilla",6,3,5,-1,-3,"Peri"
"322",18,"Llamaman",8,6,8,0,-2,"Peri"
"323",18,"minime",1,1,5,4,0,"Peri"
"324",18,"Misterperc",6,3,5,-1,-3,"Peri"
"325",18,"Moe",4,6,7,3,2,"Peri"
"326",18,"Python",4,6,3,-1,2,"Peri"
"327",18,"RBJ",2,5,7,5,3,"Peri"
"328",18,"Rensdyrlam",8,0,8,0,NA,"Peri"
"329",18,"rosenmeier",5,8,5,0,3,"Peri"
"330",18,"Sarah",7,0,8,1,NA,"Peri"
"331",18,"SKJ",5,3,7,2,-2,"Peri"
"332",18,"Slowlydying",8,6,6,-2,-2,"Peri"
"333",18,"SOJ",2,2,3,1,0,"Peri"
"334",18,"wtf",2,4,5,3,2,"Peri"
"335",19,"17",5,7,5,0,2,"Peri"
"336",19,"1879",3,1,3,0,-2,"Peri"
"337",19,"1918",7,5,2,-5,-2,"Peri"
"338",19,"2205",6,4,6,0,-2,"Peri"
"339",19,"4520",7,5,7,0,-2,"Peri"
"340",19,"45bites",4,6,4,0,2,"Peri"
"341",19,"6107",6,8,7,1,2,"Peri"
"342",19,"9696",4,1,5,1,-3,"Peri"
"343",19,"andrea",6,8,6,0,2,"Peri"
"344",19,"Asad",4,6,5,1,2,"Peri"
"345",19,"ASDF1234",6,3,5,-1,-3,"Peri"
"346",19,"Astrid",6,4,6,0,-2,"Peri"
"347",19,"Bøllemis",7,5,7,0,-2,"Peri"
"348",19,"Carmesin",4,6,5,1,2,"Peri"
"349",19,"Christian Jacobsen",4,1,6,2,-3,"Peri"
"350",19,"GOAT",6,6,4,-2,0,"Peri"
"351",19,"Grandmasterflash",7,5,7,0,-2,"Peri"
"352",19,"havegang7",8,6,8,0,-2,"Peri"
"353",19,"hejhejhund",7,7,7,0,0,"Peri"
"354",19,"JakobBjerreKnudsen",7,7,6,-1,0,"Peri"
"355",19,"Jesper",6,4,2,-4,-2,"Peri"
"356",19,"Johanne",7,4,8,1,-3,"Peri"
"357",19,"Katrine",7,0,7,0,NA,"Peri"
"358",19,"lilla",6,6,8,2,0,"Peri"
"359",19,"Llamaman",7,7,3,-4,0,"Peri"
"360",19,"minime",8,8,7,-1,0,"Peri"
"361",19,"Misterperc",7,7,4,-3,0,"Peri"
"362",19,"Moe",5,3,5,0,-2,"Peri"
"363",19,"Python",6,0,6,0,NA,"Peri"
"364",19,"RBJ",3,3,7,4,0,"Peri"
"365",19,"Rensdyrlam",2,5,7,5,3,"Peri"
"366",19,"rosenmeier",5,3,2,-3,-2,"Peri"
"367",19,"Sarah",5,2,5,0,-3,"Peri"
"368",19,"SKJ",2,0,5,3,NA,"Peri"
"369",19,"Slowlydying",3,0,6,3,NA,"Peri"
"370",19,"SOJ",2,5,4,2,3,"Peri"
"371",19,"wtf",5,5,6,1,0,"Peri"
"372",2,"17",4,1,6,2,-3,"Peri"
"373",2,"1879",4,6,3,-1,2,"Peri"
"374",2,"1918",5,5,1,-4,0,"Peri"
"375",2,"2205",1,0,2,1,NA,"Peri"
"376",2,"4520",3,6,4,1,3,"Peri"
"377",2,"45bites",7,5,3,-4,-2,"Peri"
"378",2,"6107",5,3,4,-1,-2,"Peri"
