"","FaceID","ID","URL round 1.x","URL round 2.x","ParticipantN.x","Round.x","FirstRating","GroupRating","URL round 2.y","URL round 1.y","ParticipantN.y","Round.y","SecondRating","Feedback","Change"
"77",12,"1918","bieie7ao","5nmlzc2i",27,"sc_round1",5,3,"5nmlzc2i","bieie7ao",8,"sc_round2",5,-2,0
"78",12,"2205","unfwcb90","wnjx49s1",84,"sc_round1",3,3,"wnjx49s1","unfwcb90",35,"sc_round2",4,0,1
"79",12,"4520","t3zc9soo","gm0b0k11",1,"sc_round1",2,0,"gm0b0k11","t3zc9soo",1,"sc_round2",3,NA,1
"80",12,"45bites","g54qjb0l","36hprd2x",9,"sc_round1",4,1,"36hprd2x","g54qjb0l",48,"sc_round2",3,-3,-1
"81",12,"6107","24vjo3ss","xxe6xzes",12,"sc_round1",4,1,"xxe6xzes","24vjo3ss",49,"sc_round2",3,-3,-1
"82",12,"9696","st6r8kfq","4v10zr69",55,"sc_round1",4,7,"4v10zr69","st6r8kfq",21,"sc_round2",2,3,-2
"83",12,"andrea","lq0zamde","ia0rpy42",61,"sc_round1",6,8,"ia0rpy42","lq0zamde",37,"sc_round2",6,2,0
"84",12,"Asad","ktm1ojr2","e96jb6mr",33,"sc_round1",4,0,"e96jb6mr","ktm1ojr2",65,"sc_round2",3,NA,-1
"85",12,"ASDF1234","dbfzbwq1","hsui8h86",70,"sc_round1",5,7,"hsui8h86","dbfzbwq1",23,"sc_round2",4,2,-1
"86",12,"Astrid","zhqv6mcm","9700fvfg",38,"sc_round1",6,0,"9700fvfg","zhqv6mcm",13,"sc_round2",5,NA,-1
"87",12,"Bøllemis","t55pnknq","xolku9ti",71,"sc_round1",7,5,"xolku9ti","t55pnknq",25,"sc_round2",7,-2,0
"88",12,"Carmesin","hhvjjhod","wr6elhvg",45,"sc_round1",5,2,"wr6elhvg","hhvjjhod",16,"sc_round2",4,-3,-1
"89",12,"Christian Jacobsen","p16vvjzi","9tnr4s3y",16,"sc_round1",6,8,"9tnr4s3y","p16vvjzi",2,"sc_round2",6,2,0
"90",12,"GOAT","0nfe0k9c","ii2ca2a4",44,"sc_round1",3,3,"ii2ca2a4","0nfe0k9c",5,"sc_round2",3,0,0
"91",12,"Grandmasterflash","9ial3dvy","4wl0bfqz",81,"sc_round1",4,6,"4wl0bfqz","9ial3dvy",54,"sc_round2",5,2,1
"92",12,"havegang7","5ziimz34","14ho06cq",36,"sc_round1",6,8,"14ho06cq","5ziimz34",7,"sc_round2",6,2,0
"93",12,"hejhejhund","3c7i3qeh","oug44nb6",52,"sc_round1",4,6,"oug44nb6","3c7i3qeh",19,"sc_round2",3,2,-1
"94",12,"Jesper","4h1ska65","wltwxmba",82,"sc_round1",2,5,"wltwxmba","4h1ska65",30,"sc_round2",3,3,1
"95",12,"Johanne","mx0i74iq","dt6c67jl",32,"sc_round1",6,8,"dt6c67jl","mx0i74iq",64,"sc_round2",7,2,1
"96",12,"Katrine","ljefhi7s","v2mkys1q",76,"sc_round1",6,8,"v2mkys1q","ljefhi7s",34,"sc_round2",6,2,0
"97",12,"lilla","g1zkj1et","jfke82qw",73,"sc_round1",6,0,"jfke82qw","g1zkj1et",26,"sc_round2",5,NA,-1
"98",12,"Llamaman","yhpfe3ki","qr957mqd",74,"sc_round1",5,5,"qr957mqd","yhpfe3ki",38,"sc_round2",4,0,-1
"99",12,"minime","fw1o7714","1qevmfei",97,"sc_round1",3,0,"1qevmfei","fw1o7714",57,"sc_round2",5,NA,2
"100",12,"Misterperc","eukb0tda","4d35wwdw",96,"sc_round1",2,5,"4d35wwdw","eukb0tda",42,"sc_round2",3,3,1
"101",12,"Moe","eem5hb8v","ks23jwvj",65,"sc_round1",3,1,"ks23jwvj","eem5hb8v",45,"sc_round2",4,-2,1
"102",12,"Python","70icxtu0","7vzmcs48",69,"sc_round1",3,6,"7vzmcs48","70icxtu0",24,"sc_round2",2,3,-1
"103",12,"RBJ","nak8o392","11u16gtf",47,"sc_round1",1,0,"11u16gtf","nak8o392",11,"sc_round2",6,NA,5
"104",12,"Rensdyrlam","n8969zl4","oen6qf4o",72,"sc_round1",3,3,"oen6qf4o","n8969zl4",28,"sc_round2",3,0,0
"105",12,"rosenmeier","pkf9fk1g","5969nxrd",31,"sc_round1",2,4,"5969nxrd","pkf9fk1g",58,"sc_round2",4,2,2
