"FaceID","ID","URL round 1.x","URL round 2.x","ParticipantN.x","Round.x","FirstRating","GroupRating","URL round 2.y","URL round 1.y","ParticipantN.y","Round.y","SecondRating"
14,"minime","fw1o7714","1qevmfei",97,"sc_round1",7,7,"1qevmfei","fw1o7714",57,"sc_round2",4
14,"Misterperc","eukb0tda","4d35wwdw",96,"sc_round1",5,2,"4d35wwdw","eukb0tda",42,"sc_round2",3
14,"Moe","eem5hb8v","ks23jwvj",65,"sc_round1",3,1,"ks23jwvj","eem5hb8v",45,"sc_round2",7
14,"Python","70icxtu0","7vzmcs48",69,"sc_round1",3,3,"7vzmcs48","70icxtu0",24,"sc_round2",4
14,"RBJ","nak8o392","11u16gtf",47,"sc_round1",2,4,"11u16gtf","nak8o392",11,"sc_round2",6
14,"Rensdyrlam","n8969zl4","oen6qf4o",72,"sc_round1",3,3,"oen6qf4o","n8969zl4",28,"sc_round2",1
14,"rosenmeier","pkf9fk1g","5969nxrd",31,"sc_round1",2,5,"5969nxrd","pkf9fk1g",58,"sc_round2",3
14,"Sarah","szp84fhk","uvpc88el",54,"sc_round1",7,4,"uvpc88el","szp84fhk",20,"sc_round2",4
14,"SKJ","fwpmdfnx","csqlcfa3",10,"sc_round1",5,2,"csqlcfa3","fwpmdfnx",46,"sc_round2",5
14,"Slowlydying","s9p5ckq6","v5ibxvij",31,"sc_round1",7,0,"v5ibxvij","s9p5ckq6",10,"sc_round2",8
14,"SOJ","s1660bu2","gsnp1osd",79,"sc_round1",2,2,"gsnp1osd","s1660bu2",53,"sc_round2",4
14,"wtf","zhw4p27n","8gnloax0",11,"sc_round1",3,6,"8gnloax0","zhw4p27n",52,"sc_round2",4
15,"17","sjaa659z","fzt0cp0a",86,"sc_round1",6,3,"fzt0cp0a","sjaa659z",36,"sc_round2",4
15,"1879","pywjuver","ara1b058",95,"sc_round1",4,6,"ara1b058","pywjuver",39,"sc_round2",5
15,"1918","bieie7ao","5nmlzc2i",27,"sc_round1",6,3,"5nmlzc2i","bieie7ao",8,"sc_round2",1
15,"2205","unfwcb90","wnjx49s1",84,"sc_round1",6,0,"wnjx49s1","unfwcb90",35,"sc_round2",5
15,"4520","t3zc9soo","gm0b0k11",1,"sc_round1",6,6,"gm0b0k11","t3zc9soo",1,"sc_round2",6
15,"45bites","g54qjb0l","36hprd2x",9,"sc_round1",3,1,"36hprd2x","g54qjb0l",48,"sc_round2",3
