"","ID","FaceID","FirstRating","GroupRating","SecondRating","Feedback","Change","Condition"
"133",10,58,3,1,3,-2,0,"Pre"
"134",10,59,6,8,5,2,-1,"Pre"
"135",10,6,3,1,3,-2,0,"Pre"
"136",10,60,3,3,2,0,-1,"Pre"
"137",10,61,4,0,5,NA,1,"Pre"
"138",10,62,1,4,1,3,0,"Pre"
"139",10,63,4,1,4,-3,0,"Pre"
"140",10,64,3,6,4,3,1,"Pre"
"141",10,65,3,3,4,0,1,"Pre"
"142",10,66,5,2,5,-3,0,"Pre"
"143",10,67,6,8,6,2,0,"Pre"
"144",10,68,3,3,5,0,2,"Pre"
"145",10,69,6,8,3,2,-3,"Pre"
"146",10,7,3,5,4,2,1,"Pre"
"147",10,70,3,5,3,2,0,"Pre"
"148",10,71,7,5,7,-2,0,"Pre"
"149",10,72,6,8,5,2,-1,"Pre"
"150",10,73,1,4,1,3,0,"Pre"
"151",10,74,5,3,3,-2,-2,"Pre"
"152",10,75,6,8,6,2,0,"Pre"
"153",10,76,4,0,7,NA,3,"Pre"
"154",10,77,4,4,4,0,0,"Pre"
"155",10,78,3,0,3,NA,0,"Pre"
"156",10,79,6,6,5,0,-1,"Pre"
"157",10,8,3,3,4,0,1,"Pre"
"158",10,80,3,6,3,3,0,"Pre"
"159",10,81,3,1,3,-2,0,"Pre"
"160",10,9,2,2,3,0,1,"Pre"
"161",11,10,3,6,6,3,3,"Pre"
"162",11,11,4,0,4,NA,0,"Pre"
"163",11,12,4,6,6,2,2,"Pre"
"164",11,13,3,5,3,2,0,"Pre"
"165",11,14,2,5,2,3,0,"Pre"
"166",11,15,3,5,3,2,0,"Pre"
"167",11,16,4,6,4,2,0,"Pre"
"168",11,17,3,3,3,0,0,"Pre"
"169",11,18,6,6,8,0,2,"Pre"
"170",11,19,6,8,3,2,-3,"Pre"
"171",11,2,4,6,4,2,0,"Pre"
"172",11,20,7,4,6,-3,-1,"Pre"
"173",11,21,1,4,1,3,0,"Pre"
"174",11,22,1,1,2,0,1,"Pre"
"175",11,23,5,0,6,NA,1,"Pre"
"176",11,24,3,3,6,0,3,"Pre"
"177",11,25,4,4,4,0,0,"Pre"
"178",11,26,6,0,8,NA,2,"Pre"
"179",11,27,2,4,1,2,-1,"Pre"
"180",11,28,7,7,4,0,-3,"Pre"
"181",11,29,6,8,7,2,1,"Pre"
"182",11,3,5,3,4,-2,-1,"Pre"
"183",11,30,4,4,5,0,1,"Pre"
"184",11,31,6,6,6,0,0,"Pre"
"185",11,32,4,7,4,3,0,"Pre"
"186",11,33,3,5,2,2,-1,"Pre"
"187",11,34,3,0,4,NA,1,"Pre"
"188",11,35,7,4,5,-3,-2,"Pre"
"189",11,36,1,4,2,3,1,"Pre"
"190",11,37,5,0,4,NA,-1,"Pre"
"191",11,38,1,1,1,0,0,"Pre"
"192",11,39,5,5,4,0,-1,"Pre"
"193",11,4,5,2,6,-3,1,"Pre"
"194",11,40,1,1,2,0,1,"Pre"
"195",11,41,6,0,4,NA,-2,"Pre"
"196",11,42,2,2,4,0,2,"Pre"
"197",11,43,3,6,4,3,1,"Pre"
"198",11,44,6,8,3,2,-3,"Pre"
"199",11,45,4,0,5,NA,1,"Pre"
"200",11,46,4,4,7,0,3,"Pre"
"201",11,47,6,6,7,0,1,"Pre"
"202",11,48,3,5,2,2,-1,"Pre"
"203",11,49,4,6,2,2,-2,"Pre"
